,Unnamed: 0.1,Unnamed: 0,SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,VALUE
217,217,217,A005930,2022-11-21,61400,61800,60800,61400,9378097,573783339409
218,218,218,A005930,2022-11-22,60900,61200,60300,60600,9411289,571460562800
219,219,219,A005930,2022-11-23,61200,61300,60700,61000,8765050,534580211500
220,220,220,A005930,2022-11-24,61200,61700,60900,61400,8125010,497273294550
221,221,221,A005930,2022-11-25,61400,61700,60800,61000,6677933,407953216200
222,222,222,A005930,2022-11-28,60500,60500,59800,60100,8589032,515486605100
223,223,223,A005930,2022-11-29,59900,60600,59800,60600,7014160,422226001673
224,224,224,A005930,2022-11-30,60400,62200,60200,62200,19768903,1218354958444
225,225,225,A005930,2022-12-01,63100,63200,62300,62600,16631445,1044546161950
226,226,226,A005930,2022-12-02,62500,62500,60400,60400,15331184,935960853120
227,227,227,A005930,2022-12-05,60900,61100,60000,60300,13767787,832613739000
228,228,228,A005930,2022-12-06,59800,60100,59200,59200,13888300,827339804388
229,229,229,A005930,2022-12-07,58800,59600,58500,58900,12100662,714083283900
230,230,230,A005930,2022-12-08,58700,59200,58600,59200,12986815,766212023592
231,231,231,A005930,2022-12-09,59300,60600,59300,60400,10529632,633777717900
232,232,232,A005930,2022-12-12,59900,60000,59400,59500,9036472,538557972800
233,233,233,A005930,2022-12-13,59600,60300,59400,59700,9040873,539587782200
234,234,234,A005930,2022-12-14,59800,60600,59800,60500,8207485,495209255105
235,235,235,A005930,2022-12-15,59800,60200,59300,59300,8716039,519762171147
236,236,236,A005930,2022-12-16,58300,59500,58300,59500,13033596,769867746731
237,237,237,A005930,2022-12-19,59500,59900,59100,59500,7696187,457558919300
238,238,238,A005930,2022-12-20,59000,59100,58500,58600,9284761,545533294130
239,239,239,A005930,2022-12-21,58700,59100,58000,58000,10356971,603985894600
240,240,240,A005930,2022-12-22,58100,59100,58100,59100,10720630,628698962726
241,241,241,A005930,2022-12-23,58200,58400,57700,58100,9829407,570401785680
242,242,242,A005930,2022-12-26,58000,58100,57700,57900,6756411,391223170600
243,243,243,A005930,2022-12-27,58000,58400,57900,58100,10667027,620410096800
244,244,244,A005930,2022-12-28,57600,57600,56400,56600,14665410,832919426100
245,245,245,A005930,2022-12-29,56000,56200,55300,55300,11295935,628653753150
